t,robot_id,target_future_conflict,state_AVAILABLE,state_IN_PROGRESS,is_carrying,x_norm,y_norm,local_density_3_smooth,local_density_5_smooth,density_3_zscore,density_3_peak,density_3_accel,density_5_zscore,density_5_peak,density_5_accel,steps_stationary,stationary_ratio,neighbour_static_count,density_3_delta,density_5_delta,density_spread,density_3_lag_1,density_5_lag_1,density_3_lag_2,density_5_lag_2,density_3_lag_3,density_5_lag_3
95,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,94,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
96,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,95,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
97,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,96,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
98,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,97,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
99,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,98,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
100,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,99,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
101,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,100,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
102,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,101,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
103,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,102,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
104,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,103,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
105,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,104,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
106,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,105,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
107,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,106,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
108,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,107,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
109,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,108,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
110,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,109,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
111,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,110,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
112,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,111,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
113,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,112,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
114,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,113,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
115,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,114,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
116,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,115,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
117,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,116,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
118,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,117,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
119,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,118,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
120,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,119,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
