t,robot_id,x,y,state,held_item,path_length,local_density_3,local_density_5,stuck_duration,collision_vertex,collision_edge,is_stuck,is_deadlocked
16,32,12,11,IN_PROGRESS,0,5,0,1,0,0,0,0,0
16,33,14,16,IN_PROGRESS,1,13,2,2,2,0,0,1,0
16,34,14,15,IN_PROGRESS,1,0,1,4,0,0,0,0,0
16,35,15,18,IN_PROGRESS,1,0,1,4,0,0,0,0,0
16,36,16,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
16,37,19,15,IN_PROGRESS,1,0,1,2,0,0,0,0,0
16,38,18,22,IN_PROGRESS,0,0,3,5,0,0,0,0,0
16,39,19,22,IN_PROGRESS,0,6,4,5,5,0,0,1,0
16,40,20,22,IN_PROGRESS,0,11,4,5,5,0,0,1,0
16,41,21,21,IN_PROGRESS,0,8,3,4,0,0,0,0,0
16,42,20,15,IN_PROGRESS,1,21,1,1,0,0,0,0,0
16,43,23,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
17,0,5,8,IN_PROGRESS,1,0,1,2,0,0,0,0,0
17,1,3,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
17,2,4,1,IN_PROGRESS,0,6,2,4,6,0,0,1,1
17,3,5,1,IN_PROGRESS,0,8,3,5,6,0,0,1,1
17,4,2,5,IN_PROGRESS,1,5,0,2,0,0,0,0,0
17,5,7,9,IN_PROGRESS,1,13,1,3,0,0,0,0,0
17,6,8,1,IN_PROGRESS,0,0,3,7,0,0,0,0,0
17,7,9,1,IN_PROGRESS,0,0,2,6,0,0,0,0,0
17,8,10,1,IN_PROGRESS,0,10,3,7,6,0,0,1,1
17,9,7,5,IN_PROGRESS,1,7,0,5,0,0,0,0,0
17,10,11,8,IN_PROGRESS,1,0,2,3,0,0,0,0,0
17,11,13,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
17,12,14,1,IN_PROGRESS,0,9,3,5,6,0,0,1,1
17,13,15,1,IN_PROGRESS,0,11,3,4,6,0,0,1,1
17,14,16,7,IN_PROGRESS,1,11,0,2,0,0,0,0,0
17,15,11,5,IN_PROGRESS,1,15,1,3,0,0,0,0,0
17,16,16,1,IN_PROGRESS,0,11,3,4,6,0,0,1,1
17,17,19,5,IN_PROGRESS,1,18,0,2,0,0,0,0,0
17,18,20,8,IN_PROGRESS,1,0,0,2,0,0,0,0,0
17,19,21,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
17,20,22,2,IN_PROGRESS,0,4,2,2,0,0,0,0,0
17,21,22,1,IN_PROGRESS,0,16,2,2,0,0,0,0,0
17,22,6,15,IN_PROGRESS,0,9,4,5,0,0,0,0,0
17,23,3,12,IN_PROGRESS,0,20,1,1,0,0,0,0,0
17,24,3,13,IN_PROGRESS,0,6,1,2,0,0,0,0,0
17,25,5,17,IN_PROGRESS,1,11,2,4,0,0,0,0,0
17,26,7,15,IN_PROGRESS,1,6,3,5,0,0,0,0,0
17,27,7,16,IN_PROGRESS,1,4,4,7,0,0,0,0,0
17,28,9,15,IN_PROGRESS,1,0,3,6,0,0,0,0,0
17,29,8,19,IN_PROGRESS,0,2,2,6,0,0,0,0,0
17,30,8,20,IN_PROGRESS,0,7,1,3,0,0,0,0,0
17,31,10,18,IN_PROGRESS,1,0,1,5,0,0,0,0,0
17,32,12,10,IN_PROGRESS,0,4,1,1,0,0,0,0,0
17,33,14,16,IN_PROGRESS,1,13,2,2,3,0,0,1,0
17,34,14,15,IN_PROGRESS,1,0,1,4,0,0,0,0,0
17,35,15,18,IN_PROGRESS,1,0,1,4,0,0,0,0,0
17,36,16,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
17,37,19,15,IN_PROGRESS,1,0,1,2,0,0,0,0,0
17,38,18,22,IN_PROGRESS,0,0,3,5,0,0,0,0,0
17,39,19,22,IN_PROGRESS,0,6,3,5,6,0,0,1,1
17,40,20,22,IN_PROGRESS,0,11,4,5,6,0,0,1,1
17,41,21,20,IN_PROGRESS,0,7,1,4,0,0,0,0,0
17,42,20,15,IN_PROGRESS,1,21,1,1,1,0,0,0,0
17,43,23,22,IN_PROGRESS,0,0,1,4,0,0,0,0,0
18,0,5,8,IN_PROGRESS,1,0,0,3,0,0,0,0,0
18,1,3,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
18,2,4,1,IN_PROGRESS,0,6,2,4,7,0,0,1,1
18,3,5,1,IN_PROGRESS,0,8,3,6,7,0,0,1,1
18,4,1,5,IN_PROGRESS,1,4,0,1,0,0,0,0,0
18,5,7,10,IN_PROGRESS,1,12,0,4,0,0,0,0,0
18,6,8,1,IN_PROGRESS,0,0,3,6,0,0,0,0,0
18,7,9,1,IN_PROGRESS,0,0,2,7,0,0,0,0,0
18,8,10,1,IN_PROGRESS,0,10,3,7,7,0,0,1,1
18,9,6,5,IN_PROGRESS,1,6,0,4,0,0,0,0,0
18,10,11,8,IN_PROGRESS,1,0,1,2,0,0,0,0,0
18,11,13,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
18,12,14,1,IN_PROGRESS,0,9,3,5,7,0,0,1,1
18,13,15,1,IN_PROGRESS,0,11,3,4,7,0,0,1,1
18,14,16,6,IN_PROGRESS,1,10,1,2,0,0,0,0,0
18,15,10,5,IN_PROGRESS,1,14,0,4,0,0,0,0,0
18,16,16,1,IN_PROGRESS,0,11,3,5,7,0,0,1,1
18,17,18,5,IN_PROGRESS,1,17,1,2,0,0,0,0,0
18,18,20,8,IN_PROGRESS,1,5,0,1,1,0,0,0,0
18,19,21,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
18,20,22,3,IN_PROGRESS,0,3,2,2,0,0,0,0,0
18,21,22,1,IN_PROGRESS,0,16,2,2,1,0,0,0,0
18,22,7,15,IN_PROGRESS,0,8,4,7,0,0,0,0,0
18,23,3,11,IN_PROGRESS,0,19,1,3,0,0,0,0,0
18,24,3,12,IN_PROGRESS,0,5,1,1,0,0,0,0,0
18,25,5,16,IN_PROGRESS,1,10,2,5,0,0,0,0,0
18,26,7,14,IN_PROGRESS,1,5,3,6,0,0,0,0,0
18,27,7,16,IN_PROGRESS,1,4,5,7,1,0,0,0,0
